 Epoch    GPU_mem   box_loss   cls_loss   dfl_loss  Instances       Size
      car_Nissan_Micra          8          8      0.488        0.5      0.648      0.623
      car_Nissan_Sunny          4          4          1          0      0.497      0.497
    car_Nissan_Terrano          1          1          1          0          0          0
            car_Others         76         89      0.299      0.135      0.166      0.136
    car_Renault_Duster          7          7          1      0.547        0.6      0.505
      car_Renault_Kwid          7          7      0.959      0.286      0.317      0.285
     car_Renault_Lodgy          1          1          1          0          0          0
     car_Skoda_Octavia          7          7          1      0.969      0.995       0.88
       car_Skoda_Rapid          6          6      0.635      0.167      0.257      0.203
      car_Skoda_Superb          1          1          0          0     0.0216     0.0216
   car_TataMotors_Hexa          1          1          1          0          0          0
 car_TataMotors_Indica        118        125      0.758      0.648      0.755      0.647
 car_TataMotors_Indigo          6          6          0          0     0.0401     0.0331
   car_TataMotors_Nano          1          1          1          0     0.0243     0.0218
   car_TataMotors_Sumo         10         10      0.534      0.234      0.301      0.247
  car_TataMotors_Tiago          4          4          0          0     0.0574     0.0574
   car_TataMotors_Zest         10         10          1      0.891      0.919       0.85
    car_Toyota_Corolla          5          5      0.436        0.4      0.477      0.461
      car_Toyota_Etios         68         73       0.73      0.699      0.755      0.647
  car_Toyota_EtiosLiva         10         10      0.822        0.7      0.727      0.679
   car_Toyota_Fortuner          5          5      0.752        0.4      0.564      0.471
     car_Toyota_Innova         74         79      0.661      0.747      0.799      0.667
     car_Toyota_Qualis         14         14      0.819      0.571      0.595      0.415
  car_Volkswagen_Jetta          3          3      0.477      0.333      0.361      0.325
   car_Volkswagen_Polo         21         23      0.833      0.609      0.654      0.599
  car_Volkswagen_Vento          7          7       0.28      0.286      0.224      0.185
       mini-bus_Others         57         59      0.685      0.831      0.741      0.641
motorcycle_Bajaj_Avenger         13         13      0.128     0.0769      0.136      0.098
motorcycle_Bajaj_CT100          7          7          0          0     0.0274     0.0202
motorcycle_Bajaj_Discover         10         10      0.418        0.1      0.124     0.0882
motorcycle_Bajaj_Discover100          2          2          1          0          0          0
motorcycle_Bajaj_Discover125          2          2          1          0     0.0112    0.00671
motorcycle_Bajaj_Discover135          4          4          1          0     0.0164    0.00655
motorcycle_Bajaj_Platina          5          5      0.615        0.4      0.267      0.201
motorcycle_Bajaj_Pulsar150         67         76      0.428      0.382      0.409      0.316
motorcycle_Bajaj_Pulsar180          6          6          1          0      0.018     0.0142
motorcycle_Bajaj_Pulsar200          2          2          1          0       0.26      0.208
motorcycle_Bajaj_Pulsar220F         10         10      0.434        0.1       0.19      0.131
  motorcycle_Bajaj_V15          1          1          1          0      0.016     0.0128
motorcycle_HeroHonda_CBZ          6          6          1          0     0.0111    0.00785
motorcycle_Hero_Glamour         32         36       0.79      0.444      0.542      0.439
motorcycle_Hero_HFDeluxe          5          5          1          0     0.0528     0.0436
  motorcycle_Hero_Hunk          1          1          1          0     0.0065     0.0052
motorcycle_Hero_Passion         36         36      0.209     0.0833      0.146      0.106
motorcycle_Hero_PassionPlus         24         24      0.557      0.107      0.226      0.151
motorcycle_Hero_PassionPro         53         58      0.616      0.276      0.384      0.269
motorcycle_Hero_Splendor        113        122      0.521      0.574      0.567      0.396
motorcycle_Honda_CBTwister          4          4      0.547       0.25      0.253      0.203
motorcycle_Honda_Karizma          2          2          1          0      0.031     0.0253
motorcycle_Honda_KarizmaZMR          3          3          1          0      0.131      0.111
motorcycle_Honda_SP125          1          1          0          0          0          0
motorcycle_Honda_Shine         60         62      0.296      0.271      0.277       0.21
motorcycle_Honda_Unicorn         27         27      0.638      0.222      0.312      0.265
   motorcycle_KTM_Duke          3          3          1          0     0.0489     0.0391
motorcycle_Mahindra_Centuro          1          1          1          0          0          0
     motorcycle_Others         82         93     0.0876     0.0108     0.0577     0.0374
motorcycle_RoyalEnfield_Bullet350         11         11      0.472      0.273      0.448      0.361
motorcycle_RoyalEnfield_Classic350         28         29      0.524      0.448      0.427      0.332
motorcycle_RoyalEnfield_Classic500          2          2          1          0      0.502        0.5
motorcycle_RoyalEnfield_Thunderbird350          1          1          1          0     0.0044    0.00396
motorcycle_RoyalEnfield_Thunderbird350X          4          4      0.467       0.25      0.252        0.2
motorcycle_Suzuki_Gixxer          2          2          1          0      0.027     0.0162
motorcycle_Suzuki_Samurai          1          1      0.195          1      0.995      0.796
motorcycle_TVS_ApacheRTR160          8          8      0.511      0.375      0.348      0.233
motorcycle_TVS_Excel100          3          3          1          0     0.0415    0.00899
motorcycle_TVS_ExcelHeavyDuty          2          2          1          0          0          0
  motorcycle_TVS_Sport          9          9          1          0      0.279      0.218
motorcycle_TVS_StarCityPlus          6          6      0.575      0.167      0.229      0.187
 motorcycle_TVS_Victor          4          4          1          0     0.0212     0.0169
  motorcycle_TVS_XL100         46         50      0.542       0.26      0.371      0.257
motorcycle_Yamaha_Crux          1          1          1          0          0          0
motorcycle_Yamaha_FZ-V3          5          5      0.728      0.548      0.613      0.525
motorcycle_Yamaha_FZ25          8          8      0.322      0.125      0.236      0.205
